# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual prec
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:54:13 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0622 001 2064.39
0623 001 1554.37
0624 001 83.68
0625 001 1035.32
0626 001 1839.29
0627 001 1471.96
0628 001 1420.36
0629 001 72.64
0630 001 1880.30
0631 001 1753.11
0632 001 1563.99
0633 001 615.99
0634 001 1856.94
0635 001 1964.18
0636 001 1420.36
0637 001 1572.19
0638 001 60.05
0639 001 1835.63
0640 001 1468.05
0641 001 1408.07
0642 001 922.59
0643 001 462.11
0644 001 1584.65
0645 001 1704.46
0646 001 1315.19
0647 001 1444.77
0648 001 1334.40
0649 001 412.41
0650 001 1652.42
0651 001 1810.15
0652 001 1418.66
0653 001 1208.17
0654 001 1476.21
0655 001 1218.45
0656 001 2619.80
0657 001 1334.40
0658 001 994.12
0659 001 991.41
0660 001 1684.48
0661 001 1393.34
0662 001 1393.35
0663 001 1800.89
0664 001 1459.23
0665 001 1805.61
0666 001 1795.48
0667 001 1416.66
0668 001 1887.71
0669 001 1609.57
0670 001 1622.81
0671 001 1708.62
0672 001 1805.25
0673 001 1805.25
0674 001 1330.93
0675 001 905.56
0676 001 1149.15
0677 001 822.04
0678 001 1174.75
0679 001 902.48
0680 001 1013.54
0681 001 1357.77
0682 001 1121.22
0683 001 1158.10
0684 001 1199.00
0685 001 978.84
