# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual prec
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:52:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:51:21 (c)2010 lemmen
0652 001 1389.61
0653 001 1177.36
0654 001 1424.23
0655 001 1187.68
0656 001 2681.82
0657 001 1296.71
0658 001 961.50
0659 001 929.43
0660 001 1624.63
0661 001 1355.24
0662 001 1355.24
0663 001 1764.85
0664 001 1427.73
0665 001 1764.21
0666 001 1749.73
0667 001 1372.56
0668 001 1834.05
0669 001 1571.98
0670 001 1588.06
0671 001 1676.94
0672 001 1777.01
0673 001 1777.01
0674 001 1282.76
0675 001 916.20
0676 001 1129.19
0677 001 835.64
0678 001 1152.49
0679 001 907.90
0680 001 1020.36
0681 001 1309.21
0682 001 1125.43
0683 001 1164.79
0684 001 1195.56
0685 001 955.00
