"% Please cite these data as: R. Pinhasi, J. Fort & A. Ammerman, Tracing the origin and spread of agriculture in Europe (2005), PLoS Biology xx, xxx-xxx, Suppl. Info. 1. ";;;;;;;;;;;;
"Latitude";"Longitude";"Site";"Location";"Country";"Period";"Period_simplified";;"Lab Number";"Uncal C14 BP";"Uncal C14_SD";"CAL C14 BP";"CAL_SD"
37,4000;30,5000;"Bademagaci";"Anatolia";"Turkey";"Pottery Neolithic";"Pottery Neolithic";;"Hd-20910";7546;41;8353;38
37,0670;30,5500;"Karain B";"Anatolia";"Turkey";"Pottery Neolithic";"Pottery Neolithic";;"HD-10818";7420;70;8240;79
37,4500;30,5670;"Höyücek";"Anatolia";"Turkey";"Pottery Neolithic";"Pottery Neolithic";;"HD-14219";7556;45;8358;37
37,7650;31,6830;"Erbaba";"Anatolia";"Turkey";"Pottery Neolithic";"Pottery Neolithic";;"I-5151";7730;120;8565;141
37,3400;31,9500;"Suberde";"Anatolia";"Turkey";"PPNB";"PPNB";;"P-1391";8249;91;9237;135
37,6500;32,8167;"Çatal Höyük";"Anatolia";"Turkey";"Pottery Neolithic";"Pottery Neolithic";;"OxA-9775";8090;55;9011;92
37,4833;33,0333;"Pinarbasi Site A";"Anatolia";"Turkey";"PPNB";"PPNB";;"OxA-5500";9290;80;10452;126
37,5000;33,5000;"Canhasan III";"Anatolia";"Turkey";"Aceramic";"Aceramic";;"HU-11";8584;65;9585;67
38,3400;34,2200;"Musular";"Anatolia";"Turkey";"Neolithic";"Neolithic";;"none";8420;0;9395;105
38,3700;34,2500;"Asikli Höyük";"Anatolia";"Turkey";"Aceramic";"Aceramic";;"GrN-19116";8920;50;10047;101
36,7830;34,5670;"Yumuktepe";"Anatolia";"Turkey";"Pottery Neolithic";"Pottery Neolithic";;"Rome-467";7920;90;8787;147
38,2800;34,5700;"Kaletepe";"Anatolia";"Turkey";"Aceramic";"Aceramic";;"GifA-100396";9030;80;10122;128
47,8200;13,4500;"See am Mondsee";"Europe";"Austria";"LBK";"LBK";;"none";4820;82;5531;100
48,6000;15,0833;"Guttenbrunn";"Europe";"Austria";"LBK";"LBK";;"Bln-2227";5935;50;6759;64
48,7000;15,5667;"Poigen";"Europe";"Austria";"LBK";"LBK";;"H-2121/1552";6017;90;6866;114
48,6700;15,6300;"Frauenhofen";"Europe";"Austria";"Stichbandkeramik";"Stichbandkeramik";;"KN-2566";6290;65;7181;96
48,6333;15,6833;"Mold";"Europe";"Austria";"LBK";"LBK";;"Bln-58";5990;160;6853;205
48,7000;15,8600;"Pulkau";"Europe";"Austria";"LBK";"LBK";;"Bln-83";6215;100;7099;126
48,1000;16,2800;"Brunn am Gebirge";"Europe";"Austria";"LBK";"LBK";;"ETH-11148";6785;75;7637;55
48,7500;16,4700;"Schletz";"Europe";"Austria";"LBK";"LBK";;"ETH-13289";6175;65;7073;98
47,5000;16,5000;"Unterpullendorf";"Europe";"Austria";"Early painted Ware";"Early painted Ware";;"VRI-42";6130;140;7001;178
47,5000;16,5000;"Frankenau";"Europe";"Austria";"LBK";"LBK";;"VRI-207";5660;100;6464;113
47,6000;16,5500;"Neckenmarkt";"Europe";"Austria";"LBK";"LBK";;"OxA-1536";6210;80;7104;106
47,9500;16,8300;"Winden am See";"Europe";"Austria";"LBK";"LBK";;"Bln-55";5940;100;6773;121
50,5800;3,6800;"Blicquy, Couture de la";"Europe";"Belgium";"LBK";"LBK";;"Hv-9271";6705;165;7575;135
50,6100;3,7500;"Irchonwelz";"Europe";"Belgium";"Blicquy Group";"Blicquy Group";;"Bln-2531";6030;60;6867;81
50,8000;5,0500;"Wange";"Europe";"Belgium";"Late LBK";"Late LBK";;"Lv-1116";6310;75;7207;106
50,6500;5,1800;"Darion";"Europe";"Belgium";"LBK";"LBK";;"Lv-1579";6240;100;7126;123
50,6500;5,2000;"Omal";"Europe";"Belgium";"LBK";"LBK";;"Hv-9285";6505;105;7412;97
50,6600;5,2000;"Waremme";"Europe";"Belgium";"LBK";"LBK";;"Lv-1693";6300;95;7189;127
50,6800;5,2100;"Oleye";"Europe";"Belgium";"LBK";"LBK";;"Lv-1685";6370;95;7286;101
50,4600;5,2500;"Trou alWesse";"Europe";"Belgium";"Neolithic";"Neolithic";;"Lv-1752";5950;70;6781;84
50,6800;5,4000;"Crisnee";"Europe";"Belgium";"LBK";"LBK";;"Lv-1580";6320;75;7226;103
50,6600;5,4500;"Awans";"Europe";"Belgium";"Late LBK";"Late LBK";;"Lv-1160";6070;90;6943;138
50,6500;5,5600;"Place Saint Lambert";"Europe";"Belgium";"LBK";"LBK";;"Lv-1340";6460;60;7366;53
50,8333;5,5833;"Vlijtingen";"Europe";"Belgium";"Late LBK";"Late LBK";;"Lv-1117";6160;95;7044;131
50,8000;5,6600;"Kanne";"Europe";"Belgium";"LBK";"LBK";;"Lv-1025";6260;75;7148;101
50,5500;5,8800;"Coron Maton";"Europe";"Belgium";"LBK";"LBK";;"Gif-5257";6420;120;7322;112
41,2700;21,4700;"Cuka";"Europe";"Bosnia?";"Neolithic";"Neolithic";;"none";7680;160;8525;193
44,1800;18,1000;"Obre";"Europe";"Bosnia-Herzegovina";"Star?evo";"Starcevo";;"UCLA-1605.I";7240;60;8059;71
44,4500;18,7600;"Gornja Tuzla";"Europe";"Bosnia-Herzegovina";"Star?evo";"Starcevo";;"GrN-2059";6640;75;7519;60
42,4000;23,2500;"Gulubnik";"Europe";"Bulgaria";"Struma Period";"Struma Period";;"none";7020;190;7855;169
42,2900;23,2800;"Kremenik 4";"Europe";"Bulgaria";"Early Neolithic";"Early Neolithic";;"none";6450;100;7362;85
41,8500;23,6200;"Eleshnitsa 2";"Europe";"Bulgaria";"Karanovo I";"Karanovo";;"none";6865;109;7715;96
42,1500;24,7400;"Jasatepe I";"Europe";"Bulgaria";"Karanovo II/III";"Karanovo";;"none";6080;"NaN";6952;130
43,1300;25,4700;"Hotnica";"Europe";"Bulgaria";"Karanovo";"Karanovo";;"none";5560;"NaN";6355;113
42,4500;25,7600;"Azmak";"Europe";"Bulgaria";"Karanovo I";"Karanovo";;"Bln-203";6880;100;7725;90
42,5000;25,9300;"Karanovo";"Europe";"Bulgaria";"Karanovo II";"Karanovo";;"Bln-201";6573;100;7465;90
42,4300;26,3300;"Bikovo-Don?ova Mogila";"Europe";"Bulgaria";"Karanovo VI";"Karanovo";;"none";5590;"NaN";6392;83
43,2000;26,6700;"Poljanica";"Europe";"Bulgaria";"Poljanica";"Poljanica";;"none";6343;74;7274;88
43,2000;26,7500;"Ov?arovo";"Europe";"Bulgaria";"Poljanica";"Poljanica";;"none";5908;101;6727;129
43,1500;26,7600;"Polyanista- Platoto 1";"Europe";"Bulgaria";"Early Neolithic";"Early Neolithic";;"none";7333;167;8145;160
43,0000;27,3700;"Goljamo Del?evo";"Europe";"Bulgaria";"Karanovo V";"Karanovo";;"none";5940;"NaN";6773;121
45,2500;14,2300;"Grotta Podosojna";"Europe";"Croatia";"Neolithic";"Neolithic";;"Z-198";6470;95;7381;84
45,6500;16,3700;"Bukovnica";"Europe";"Croatia";"Neolithic";"Neolithic";;"none";5650;"NaN";6443;92
48,9700;16,7300;"Vela Spilja cave";"Europe";"Croatia";"Early Neolithic";"Early Neolithic";;"none";7100;283;7942;258
45,7300;17,5000;"Pepelane";"Europe";"Croatia";"Neolithic";"Neolithic";;"none";5850;"NaN";6679;200
45,1800;19,2700;"Bapska";"Europe";"Croatia";"Lengyel";"Lengyel";;"none";5955;"NaN";6795;134
50,5800;13,9000;"Zalany";"Europe";"Czech";"Stichbandkeramik";"Stichbandkeramik";;"Bln-240";5881;100;6691;126
49,9200;15,3300;"Bylany";"Europe";"Czech";"LBK";"LBK";;"BM-569";6754;96;7604;81
50,2403;15,4908;"Nov? Bydzov";"Europe";"Czech";"LBK";"LBK";;"Bln-74";5225;100;6015;129
50,6600;13,9500;"Chabarovice";"Europe";"Czech Republic";"Early LBK";"Early LBK";;"Bln-438";6400;120;7298;119
49,7800;16,9100;"Mohelnice";"Europe";"Czech Republic";"LBK";"LBK";;"Bln-102a";6405;100;7319;90
49,3300;17,5800;"Zopy";"Europe";"Czech Republic";"Early LBK";"Early LBK";;"Bln-57";6430;100;7344;84
56,1500;8,4833;"Muldbjerg";"Europe";"Denmark";"TRB_North";"TRB_North";;"K-129";4940;160;5684;181
55,1700;8,5500;"Toftum";"Europe";"Denmark";"TRB_North";"TRB_North";;"K-2988";4730;90;5456;106
56,4300;9,0500;"Vroue Hede II";"Europe";"Denmark";"TRB_North";"TRB_North";;"K-1570";4980;100;5747;111
56,1167;9,5167;"Rustrup I";"Europe";"Denmark";"TRB_North";"TRB_North";;"K-2254";4970;100;5740;112
55,7000;9,5800;"Bygholm N?rremark";"Europe";"Denmark";"TRB_North";"TRB_North";;"K-3473";4740;90;5461;106
56,5000;9,5833;"Foulum";"Europe";"Denmark";"TRB_North";"TRB_North";;"K-1601";4540;110;5198;178
55,8500;9,6000;"Dorthealund N";"Europe";"Denmark";"TRB_North";"TRB_North";;"K-2432";4550;100;5213;169
55,4333;9,9167;"Mosegården";"Europe";"Denmark";"TRB_North";"TRB_North";;"K-3463";5080;90;5814;96
56,0333;9,9333;"Ringkloster";"Europe";"Denmark";"TRB_North";"TRB_North";;"K-4371";5080;70;5816;79
55,2000;10,1000;"Sarup I";"Europe";"Denmark";"TRB_North";"TRB_North";;"K-2632";4760;90;5471;108
55,2000;10,1667;"Jordl?se Mose";"Europe";"Denmark";"TRB_North";"TRB_North";;"K-3776";4980;65;5748;96
56,0000;10,2333;"Rude";"Europe";"Denmark";"TRB_North";"TRB_North";;"K-3124";4910;90;5672;104
