# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual gdd5
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 23:03:28 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 23:02:45 (c)2010 lemmen
0545 001 -9999.00
0546 001 -9999.00
0547 001 -2746.27
0548 001 7729.03
0549 001 7245.32
0550 001 -4273.20
0551 001 -9999.00
0552 001 -9999.00
0553 001 -9999.00
0554 001 6670.79
0555 001 -9999.00
0556 001 -7325.93
0557 001 7185.41
0558 001 7701.57
0559 001 7044.73
0560 001 5643.52
0561 001 6025.55
0562 001 -9999.00
0563 001 7693.66
0564 001 3462.65
0565 001 -9023.73
0566 001 -9999.00
0567 001 -9999.00
0568 001 -9999.00
0569 001 7010.04
0570 001 -9999.00
0571 001 -3428.46
0572 001 8432.40
0573 001 -9999.00
0574 001 -9999.00
0575 001 -9999.00
0576 001 -708.55
0577 001 -9999.00
0578 001 -9999.00
0579 001 8228.47
0580 001 -9999.00
0581 001 8302.95
0582 001 7884.90
0583 001 6307.68
0584 001 8402.85
0585 001 -9999.00
0586 001 -9999.00
0587 001 -9999.00
0588 001 7507.45
0589 001 -9999.00
0590 001 6573.83
0591 001 -9999.00
0592 001 8638.80
0593 001 7669.12
0594 001 8883.42
0595 001 6102.93
0596 001 8420.88
0597 001 -9999.00
0598 001 -9999.00
0599 001 -9999.00
0600 001 -9999.00
0601 001 7857.47
0602 001 7311.83
0603 001 -7973.98
0604 001 -9999.00
0605 001 7777.59
0606 001 -9999.00
0607 001 -9999.00
0608 001 -9999.00
0609 001 -9999.00
0610 001 -9999.00
0611 001 -9999.00
0612 001 -9804.91
0613 001 -9999.00
0614 001 -9999.00
0615 001 6725.54
0616 001 8126.92
0617 001 -9999.00
0618 001 6886.01
0619 001 7739.68
0620 001 -9999.00
0621 001 7931.87
0622 001 -9999.00
0623 001 -9999.00
0624 001 6493.08
0625 001 -9999.00
0626 001 -8303.49
0627 001 -9999.00
0628 001 -9999.00
0629 001 6292.60
0630 001 -9999.00
0631 001 -9999.00
0632 001 -9999.00
0633 001 8202.97
0634 001 -9999.00
0635 001 -9999.00
0636 001 -9999.00
0637 001 -9999.00
0638 001 6278.34
0639 001 -9999.00
0640 001 -9999.00
0641 001 -9999.00
0642 001 -9999.00
0643 001 5979.82
0644 001 -9999.00
0645 001 -9999.00
0646 001 -9999.00
0647 001 -9999.00
0648 001 -9999.00
0649 001 1506.93
0650 001 2537.15
0651 001 -9999.00
0652 001 -9999.00
0653 001 -9999.00
0654 001 -9999.00
0655 001 -9999.00
0656 001 2232.29
0657 001 -9999.00
0658 001 -9999.00
0659 001 -2464.56
0660 001 -9999.00
0661 001 -9999.00
0662 001 -9999.00
0663 001 -9999.00
0664 001 -9999.00
0665 001 -9999.00
0666 001 -9999.00
0667 001 -9999.00
0668 001 -9999.00
0669 001 -9999.00
0670 001 -9999.00
0671 001 -9999.00
0672 001 -9999.00
0673 001 -9999.00
0674 001 -9999.00
0675 001 -9655.31
0676 001 -9999.00
0677 001 -9999.00
0678 001 -9999.00
0679 001 -9999.00
0680 001 1840.76
0681 001 -9999.00
0682 001 1315.21
0683 001 1091.45
0684 001 1225.80
0685 001 -763.92
