# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual temp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:55:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0449 001 25.38
0450 001 20.37
0451 001 22.67
0452 001 25.23
0453 001 20.37
0454 001 25.38
0455 001 25.41
0456 001 20.86
0457 001 24.83
0458 001 21.72
0459 001 20.42
0460 001 21.78
0461 001 22.79
0462 001 20.91
0463 001 24.55
0464 001 24.99
0465 001 25.34
0466 001 27.65
0467 001 26.55
0468 001 21.70
0469 001 27.83
0470 001 20.72
0471 001 25.81
0472 001 19.93
0473 001 23.14
0474 001 22.64
0475 001 18.93
0476 001 24.30
0477 001 24.55
0478 001 19.19
0479 001 25.51
0480 001 22.83
0481 001 20.79
0482 001 25.38
0483 001 26.69
0484 001 21.71
0485 001 22.94
0486 001 25.78
0487 001 25.97
0488 001 27.93
0489 001 23.52
0490 001 27.64
0491 001 23.14
0492 001 20.33
0493 001 22.77
0494 001 24.30
0495 001 26.12
0496 001 26.42
0497 001 23.50
0498 001 25.40
0499 001 27.72
0500 001 25.13
0501 001 26.06
0502 001 26.82
0503 001 23.24
0504 001 23.89
0505 001 20.69
0506 001 25.82
0507 001 25.93
0508 001 24.88
0509 001 20.17
0510 001 21.37
0511 001 25.19
0512 001 23.46
0513 001 26.27
0514 001 25.63
0515 001 25.52
0516 001 23.20
0517 001 24.81
0518 001 25.30
0519 001 19.95
0520 001 24.96
0521 001 22.83
0522 001 26.51
0523 001 26.43
0524 001 22.02
0525 001 26.57
0526 001 20.61
0527 001 26.05
0528 001 23.27
0529 001 22.44
0530 001 26.75
0531 001 26.76
0532 001 22.55
0533 001 21.21
0534 001 26.46
0535 001 23.52
0536 001 23.18
0537 001 26.57
0538 001 23.53
0539 001 21.36
0540 001 26.07
0541 001 26.13
0542 001 23.62
0543 001 26.44
0544 001 21.65
0545 001 26.27
0546 001 26.59
0547 001 22.58
0548 001 24.34
0549 001 22.39
0550 001 26.57
0551 001 26.70
0552 001 26.38
0553 001 26.54
0554 001 22.81
0555 001 26.95
0556 001 25.67
0557 001 23.55
0558 001 23.47
0559 001 25.75
