# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual npp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:55:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0472 001 977.84
0473 001 211.48
0474 001 1016.37
0475 001 1008.26
0476 001 1104.15
0477 001 962.26
0478 001 350.10
0479 001 990.34
0480 001 542.18
0481 001 1082.42
0482 001 927.91
0483 001 926.52
0484 001 1091.66
0485 001 356.23
0486 001 864.35
0487 001 1135.02
0488 001 942.19
0489 001 549.48
0490 001 910.62
0491 001 998.09
0492 001 1035.22
0493 001 1095.96
0494 001 1104.15
0495 001 978.22
0496 001 1050.85
0497 001 545.92
0498 001 931.44
0499 001 919.15
0500 001 968.26
0501 001 1164.56
0502 001 849.22
0503 001 1065.90
0504 001 970.36
0505 001 1107.33
0506 001 837.66
0507 001 892.18
0508 001 1082.01
0509 001 1091.33
0510 001 1086.40
0511 001 1139.30
0512 001 1095.56
0513 001 942.80
0514 001 1178.47
0515 001 994.15
0516 001 1149.27
0517 001 1109.98
0518 001 1133.34
0519 001 1084.10
0520 001 1161.01
0521 001 1013.84
0522 001 982.48
0523 001 860.79
0524 001 1148.07
0525 001 1191.86
0526 001 1088.29
0527 001 970.35
0528 001 962.25
0529 001 1109.21
0530 001 991.48
0531 001 1040.66
0532 001 1163.89
0533 001 1124.40
0534 001 1258.91
0535 001 1168.89
0536 001 987.46
0537 001 1247.12
0538 001 1140.66
0539 001 1129.00
0540 001 1136.75
0541 001 1073.54
0542 001 1165.35
0543 001 1258.32
0544 001 1108.38
0545 001 1029.13
0546 001 1046.57
0547 001 1156.41
0548 001 1170.94
0549 001 1107.86
0550 001 1198.43
0551 001 1261.24
0552 001 1119.98
0553 001 1260.53
0554 001 1171.02
0555 001 1073.63
0556 001 1025.61
0557 001 1162.20
0558 001 1188.87
0559 001 786.48
0560 001 1062.63
0561 001 1162.31
0562 001 1049.70
0563 001 1107.28
0564 001 1163.98
0565 001 1037.36
0566 001 1260.58
0567 001 1009.39
0568 001 1059.28
0569 001 577.25
0570 001 848.88
0571 001 1167.90
0572 001 545.90
0573 001 1079.82
0574 001 1136.73
0575 001 1101.78
0576 001 1164.04
0577 001 1064.25
0578 001 1130.77
0579 001 612.27
0580 001 1059.02
0581 001 545.24
