# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual biome
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 23:03:28 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 23:02:45 (c)2010 lemmen
0467 001 1.43
0468 001 3.00
0469 001 5.02
0470 001 -9999.00
0471 001 -7002.39
0472 001 10.59
0473 001 -9999.00
0474 001 4.00
0475 001 3.00
0476 001 3.64
0477 001 -9296.66
0478 001 -9999.00
0479 001 1.64
0480 001 -9999.00
0481 001 -690.05
0482 001 -4754.71
0483 001 354.74
0484 001 -1272.81
0485 001 -9999.00
0486 001 -9999.00
0487 001 -9999.00
0488 001 2.00
0489 001 -9999.00
0490 001 2.00
0491 001 -350.37
0492 001 -362.16
0493 001 -141.00
0494 001 8.21
0495 001 1.48
0496 001 -9999.00
0497 001 -9999.00
0498 001 -9999.00
0499 001 1.06
0500 001 -5548.65
0501 001 -9999.00
0502 001 2.26
0503 001 1.07
0504 001 -3715.82
0505 001 5.08
0506 001 -9999.00
0507 001 -9999.00
0508 001 2.00
0509 001 7.55
0510 001 -631.18
0511 001 -1271.30
0512 001 -688.77
0513 001 -9853.93
0514 001 -1472.89
0515 001 1.12
0516 001 -1150.39
0517 001 -4110.39
0518 001 -968.37
0519 001 2.11
0520 001 -990.37
0521 001 12.68
0522 001 -2270.48
0523 001 1.00
0524 001 1.03
0525 001 -5644.21
0526 001 -3885.05
0527 001 -9999.00
0528 001 -2434.61
0529 001 1.00
0530 001 -9999.00
0531 001 -9999.00
0532 001 -1905.41
0533 001 10.23
0534 001 -9999.00
0535 001 1.00
0536 001 -9999.00
0537 001 -9999.00
0538 001 1.00
0539 001 -1447.29
0540 001 -4759.77
0541 001 -9999.00
0542 001 6.86
0543 001 -9999.00
0544 001 2.61
0545 001 -9999.00
0546 001 -9999.00
0547 001 -5303.89
0548 001 1.16
0549 001 8.97
0550 001 -6752.71
0551 001 -9999.00
0552 001 -9999.00
0553 001 -9999.00
0554 001 3.42
0555 001 -9999.00
0556 001 -8497.57
0557 001 2.62
0558 001 12.08
0559 001 12.00
0560 001 -821.26
0561 001 -548.14
0562 001 -9999.00
0563 001 12.04
0564 001 -2435.67
0565 001 -9453.25
0566 001 -9999.00
0567 001 -9999.00
0568 001 -9999.00
0569 001 7.90
0570 001 -9999.00
0571 001 -6180.26
0572 001 12.39
0573 001 -9999.00
0574 001 -9999.00
0575 001 -9999.00
0576 001 -4463.33
0577 001 -9999.00
0578 001 -9999.00
0579 001 13.00
0580 001 -9999.00
0581 001 13.00
0582 001 1433.08
0583 001 830.08
0584 001 13.00
0585 001 -9999.00
0586 001 -9999.00
0587 001 -9999.00
0588 001 13.00
0589 001 -9999.00
0590 001 21.00
0591 001 -9999.00
0592 001 13.00
0593 001 5914.23
0594 001 18.33
0595 001 16.84
0596 001 18.83
0597 001 -9999.00
0598 001 -9999.00
0599 001 -9999.00
0600 001 -9999.00
0601 001 19.35
0602 001 21.00
0603 001 -8822.02
0604 001 -9999.00
0605 001 21.00
0606 001 -9999.00
0607 001 -9999.00
0608 001 -9999.00
0609 001 -9999.00
0610 001 -9999.00
0611 001 -9999.00
0612 001 -9889.67
0613 001 -9999.00
0614 001 -9999.00
0615 001 2270.95
0616 001 21.00
0617 001 -9999.00
0618 001 21.00
0619 001 21.00
0620 001 -9999.00
0621 001 21.00
0622 001 -9999.00
0623 001 -9999.00
0624 001 21.00
0625 001 -9999.00
0626 001 -7386.39
0627 001 -9999.00
0628 001 -9999.00
0629 001 7244.11
0630 001 -9999.00
0631 001 -9999.00
0632 001 -9999.00
0633 001 13.00
0634 001 -9999.00
0635 001 -9999.00
0636 001 -9999.00
0637 001 -9999.00
0638 001 6052.27
0639 001 -9999.00
0640 001 -9999.00
0641 001 -9999.00
0642 001 -9999.00
0643 001 3858.39
0644 001 -9999.00
0645 001 -9999.00
0646 001 -9999.00
0647 001 -9999.00
0648 001 -9999.00
0649 001 -2352.00
0650 001 -908.97
0651 001 -9999.00
0652 001 -9999.00
0653 001 -9999.00
0654 001 -9999.00
0655 001 -9999.00
0656 001 -1163.17
0657 001 -9999.00
0658 001 -9999.00
0659 001 -4996.63
0660 001 -9999.00
0661 001 -9999.00
0662 001 -9999.00
0663 001 -9999.00
0664 001 -9999.00
0665 001 -9999.00
0666 001 -9999.00
0667 001 -9999.00
0668 001 -9999.00
0669 001 -9999.00
0670 001 -9999.00
0671 001 -9999.00
0672 001 -9999.00
0673 001 -9999.00
0674 001 -9999.00
0675 001 -9733.63
0676 001 -9999.00
0677 001 -9999.00
0678 001 -9999.00
0679 001 -9999.00
0680 001 7.00
0681 001 -9999.00
0682 001 7.11
0683 001 7.95
0684 001 8.00
0685 001 -1246.07
