  1 Northwest_Territories	300.75 187.34 251.01
213 Xinjiang	94.50 59.16 94.50
214 Mongolia	245.36 155.79 245.36
215 Michigan	143.91 92.68 143.91
216 Italy	192.80 122.26 162.51
217 Yugoslavia	122.49 76.91 121.12
218 Jilin	88.14 55.22 88.14
219 South_Dakota	212.74 136.07 212.74
220 Spain	75.68 47.33 68.46
221 Russian_Turkestan	408.32 260.30 392.74
222 Xinjiang	68.43 43.38 68.43
223 Neimenggu	284.64 181.42 284.64
224 Iowa	153.39 98.60 153.39
225 Illinois	279.77 177.48 279.77
226 New_York	121.35 76.91 121.35
227 Xinjiang	59.95 37.47 59.95
228 New_York	73.87 47.33 64.23
229 Spain	108.04 69.02 105.35
230 Russian_Turkestan	80.26 51.27 80.26
231 Gansu	162.16 102.54 162.16
232 Liaoning	159.28 100.57 153.51
233 Utah	248.05 157.76 248.05
234 Nebraska	177.33 112.40 177.33
235 Ohio	160.60 102.54 160.60
236 Albania	72.60 45.36 71.28
237 Russian_Turkestan	166.95 106.49 166.95
238 Russian_Turkestan	70.02 45.36 70.02
239 Neimenggu	355.54 226.78 355.54
240 Nevada	273.66 173.54 273.66
241 Turkey-in-Asia	274.68 175.51 272.11
242 Xinjiang	193.81 124.24 193.81
243 Turkey-in-Asia	370.06 234.67 361.21
244 Russian_Turkestan	97.83 61.13 97.83
245 Xinjiang	537.51 341.16 537.51
246 Hebei	97.30 61.13 93.59
247 Utah	79.11 49.30 79.11
248 California	76.93 49.30 69.47
249 Colorado	77.49 49.30 77.49
250 Kansas	77.32 49.30 77.32
251 Portugal	137.15 86.77 130.36
252 Spain	93.98 59.16 93.98
253 Greece	79.78 51.27 60.50
254 Turkey-in-Asia	113.71 72.96 97.85
255 Japan	96.87 61.13 87.34
256 Turkey-in-Asia	71.30 45.36 68.87
257 Turkey-in-Asia	103.20 65.08 103.20
258 Russian_Turkestan	149.14 94.66 149.14
259 Xinjiang	165.06 104.52 165.06
260 Qinghai	70.73 45.36 70.73
261 Qinghai	99.74 63.10 99.74
262 Shandong	138.33 88.74 133.46
263 Spain	78.86 49.30 65.76
264 Iran	173.96 110.43 167.50
265 Russian_Turkestan	230.52 147.90 227.31
266 Texas	79.43 51.27 79.43
267 Shanxi	441.67 280.02 441.67
268 California	72.35 45.36 67.89
