54 42 63 64 32 27 24 25 
49 61 80 36 83 73 56 81 
58 50 59 60 62 65 66 67 
49 61 36 80 83 56 73 81 
56 59 60 49 37 38 58 45 
51 46 43 69 70 76 31 34 
57 52 44 39 40 82 32 27 
50 58 65 66 67 68 62 55 
51 46 43 23 31 69 70 76 
61 49 80 73 36 83 74 75 
56 59 60 58 45 62 37 38 
58 59 60 62 45 50 56 71 
51 69 70 76 46 77 78 79 
69 70 51 76 77 78 79 35 
56 59 60 49 58 37 38 62 
59 60 58 56 62 45 37 38 
57 52 44 39 40 75 74 73 
61 73 74 75 81 80 49 89 
49 61 36 56 80 83 73 37 
51 46 43 69 70 76 77 78 
56 59 60 49 58 62 37 38 
50 55 65 66 67 68 53 58 
57 52 39 40 44 82 32 27 
57 52 75 74 73 81 89 44 
61 80 49 73 83 81 74 75 
56 59 60 58 62 45 37 38 
59 60 56 58 62 45 71 65 
58 65 66 67 68 62 71 50 
69 70 51 76 77 78 79 46 
82 57 52 39 40 44 32 27 
61 49 80 83 73 36 81 74 
49 56 83 61 80 36 59 60 
51 69 70 76 77 78 79 46 
82 32 42 27 39 40 24 25 
54 63 64 42 32 24 25 26 
49 61 80 83 56 36 73 81 
56 59 60 49 58 62 83 37 
61 80 83 49 73 81 74 75 
49 56 83 61 80 36 59 60 
59 60 58 62 56 71 65 66 
62 58 71 59 60 65 66 67 
69 70 76 77 78 79 51 46 
54 82 42 64 63 32 27 24 
61 80 83 49 73 56 81 36 
65 66 67 62 68 58 71 59 
64 63 54 42 82 32 19 24 
69 70 76 77 78 79 51 46 
54 64 63 42 82 32 27 24 
57 75 74 73 89 52 81 97 
72 69 70 77 78 79 76 88 
57 52 82 44 39 40 95 96 
74 75 73 81 89 61 80 57 
56 59 60 62 58 71 90 49 
56 59 60 62 58 71 65 66 
72 88 84 85 86 87 69 70 
64 63 54 42 82 32 27 24 
82 54 64 63 42 32 27 24 
64 63 54 42 82 102 105 106 
80 83 61 73 49 81 74 75 
76 69 70 77 78 79 51 99 
76 69 70 77 78 79 72 99 
64 63 54 82 42 32 27 24 
82 57 52 39 40 95 96 44 
59 60 56 62 58 71 90 94 
82 54 64 63 42 32 27 24 
83 80 49 56 61 73 81 59 
64 63 54 82 42 102 105 106 
77 78 79 76 69 70 72 99 
82 57 52 95 96 103 98 97 
75 74 89 57 73 81 52 97 
83 80 61 49 73 81 56 74 
83 80 61 49 56 73 81 74 
82 64 63 54 42 32 27 24 
57 52 95 96 98 97 75 74 
91 68 65 66 67 71 92 93 
