No;No_sort;Datafile;t_min;t_max;Plotname;Proxy;Interpret;Latitude;Longitude;CutoffFreq;SourcePDF;Source ;Comment
93;93;WPacific_d18O_geophysreslet_30_1428.dat;0;11;W Pacific;$\delta^{18}$O;??;6.3;128.8;-1;geophysreslet_30_1428.pdf;Rosenthal2003;data not identical with source Stott2002
94;94;SChina_d18O_quatres_55_352.dat;3;11;S China Sea;$\delta^{18}$O;??;5.6;110.66;-1;science_291_2132.pdf;;??
95;95;Victoria_pilkington_diatom_2.dat;0;10;Lk Victoria;Diat.CA1;??;0.18;33.2;-1;quatres_59_172.pdf;Stager1997;??
96;96;Victoria_pilkington_diatom_1.dat;0;10;Lk Victoria;Diat.CA2;??;0.18;33.2;-1;quatres_59_172.pdf;Stager1997;??
97;97;MtKenya_science_292_2307_Hall_d18O.dat;1;11;Lk Hall, Kenia;$\delta^{18}$O;Tropical Indian/Atlantic ocean SST;-0.15;37.35;-1;science_292_2307.pdf;Barker2001;Barker2001_etal_sci, Small Hall Tarn, Benthic freshwater diatoms taxa, mostly Fragilaria
98;98;MtKenya_science_292_2307_Sim_d18O.dat;1;10;Lk Sim, Kenia;$\delta^{18}$O;Tropical Indian/Atlantic ocean SST;-0.15;37.32;-1;science_292_2307.pdf;Barker2001;Barker2001_etal_sci, Simba Tarn, Benthic freshwater diatoms taxa, mostly Fragilaria
99;99;EPacific_d18O_geophysreslet_30_1428.dat;2;11;E Pacific;$\delta^{18}$O;??;-1.1;-89.41;-1;geophysreslet_30_1428.pdf;Rosenthal2003;??
100;100;Ecuador_grayscale2.dat;0;11;Ecuador;GSD;??;-2.4;-79;-1;science_283_516.pdf;Rodbell1999;??
101;101;Holo_ENSO_Ecuador.dat;0;10;Ecuador;ENSO;??;-2.77;-79.23;-1;nature_420_162.pdf;Moy2002;??
102;102;EqAtlantic_climdyn_21_337_dSST.dat;0;11;Eq Atlantic;$\Delta$SST;??;-2.87;-36.13;11;climdyn_21_337.pdf;Kim2003;DELTA-SST!
103;103;Burundi_Precip.dat;0;11;Burundi;P ;??;-3;30;11;globplanchan_26_25.pdf;Bonnefille2000;??
104;104;Holo_d18O_KilimanSoreq.dat;0;11;Kilimanjaro;$\delta^{18}$O;??;-4;38;-1;science_298_589.pdf;Thompson2002;??
105;105;Arz2001_WestBrasil_1.dat;0;11;W Atlantic;$\delta^{18}$O;Trade wind intensity;-4.25;-36.35;-1;?geology_29_239.pdf;Arz2001;Arz2001_etal_geol, GeoB 3910-2, Globigerinoides sacculifer (surface planktonic foram)
106;106;Arz2001_WestBrasil_2.dat;0;11;W Atlantic;$\delta^{18}$O (Tu);THC;-4.25;-36.35;-1;?geology_29_239.pdf;Arz2001;Arz2001_etal_geol, GeoB 3910-2, Globorotalia tumida (thermocline planktonic foram)
107;107;d18O_MD76_Stott2004.dat;0;11;W Pacific;$\delta^{18}$O (76);??;-5;133.26;-1;nature_431_56.pdf;Stott2004;??
108;108;climchange_58_137_d18O.dat;0;11;Huascaran, Peru;$\delta^{18}$O;??;-9.12;-77.62;10;climchange_59_137.pdf;Thompson2003;??
109;109;science_296_113_mar.dat;0;11;Lk Malawi;MAR;??;-10.27;34.32;9.5;science_296_113.pdf;Johnson2002;??
110;110;science_296_113_si.dat;0;11;Lk Malawi;Si;??;-10.27;34.32;-1;science_296_113.pdf;Johnson2002;??
