"No";"No_sort";"Datafile";"t_min";"t_max";"Plotname";"Proxy";"Interpret";"Latitude";"Longitude";"CutoffFreq";"SourcePDF";"Source ";"Comment"
88;88;"Fleitmann2007_QunfCave_Oman_d18O.dat";0;11;"Qunf Cv, Oman";"$\delta^{18}$O";"P";17,1;54,18;"NaN";"??";"Fleitmann2007";"Stalagmite"
89;89;"Oman_science_300_1737_A_d18O.dat";3;8;"Oman";"$\delta^{18}$O";"??";17,17;54,3;-1;"science_300_1737.pdf";"Fleitmann2003";"??"
90;90;"ArabSea_nature_421_354_d18O.dat";0;11;"Arabian Sea";"$\delta^{18}$O";"??";18;57,3;-1;"nature_421_354.pdf";"Gupta2003";"??"
91;91;"ArabianSea_SST_W.dat";0;12;"Arabian Sea";"SSTW";"??";14,32;57,35;-1;"???";"Schulz1995";"??"
92;92;"arabian_sea_d18O.dat";0;12;"NE Arabian Sea";"$\delta^{18}$O";"??";24,83;65,92;11;"?paleoce_16_358.pdf";"DooseRolinski2001";"site?"
93;93;"yamal_siberia2.dat";0;4;"NW Siberia";"T7";"??";69,85;67,75;-1;"?holocene_12_717.pdf";"Hantemirov2002";"no pdf yet, site?"
94;94;"EArabSea_d18O_epsl_177_209.dat";0;10;"E Arabian Sea";"$\delta^{18}$O";"??";12,5;74;-1;"epsl_177_209.pdf";"Sarkar2000";"??"
95;95;"ricketts2001_d18O.dat";3;9;"Lk Issyk-Kul, Kyrgyzstan";"$\delta^{18}$O";"??";42,42;77,33;-1;"palaeo3_176_207.pdf";"Ricketts2001";"Ostracod Mg/Ca and Sr/Ca (solinty/mositure)  on Cardona neglecta, no pdf yet"
96;96;"Tibet_d18O_paleo3_120_25.dat";0;12;"Tibet";"$\delta^{18}$O";"??";33,4;79;-1;"paleo3_120_25.pdf";"Fontes1996";"??"
97;97;"China_Dunde_d18O_qsr_23_2207.dat";0;9;"Dunde, China";"$\delta^{18}$O";"??";27;95;-1;"qsr_23_2207.pdf";"Jung2004";"??"
98;98;"Komsomolskaia_quatres_54_348_deut.dat";0;12;"Komsomolskaia";"$\delta^2$H";"??";-74,08;97,45;-1;"quatres_54_348.pdf";"Masson2000";"??"
99;99;"boreas_32_485_PollenTemp.dat";0;11;"N Siberia";"Pollen";"T7";74;100;-1;"boreas_32_485.pdf";"Andreev2003";"Andreev2003_etal_bor, Multi, Pollen spectra information-statistical reconstruction, Also available T, T1, P"
100;100;"Hydrol_ACratio_NChina_paleo3_211_1.dat";2;11;"NW China";"P (AC)";"??";41,89;101,85;-1;"paleo3_211_1.pdf";"Herzschuh2004";"??"
101;101;"Hydrol_EfEdratio_NChina_paleo3_211_1.dat";2;11;"NW China";"P (Ef)";"??";41,89;101,85;-1;"paleo3_211_1.pdf";"Herzschuh2004";"??"
102;102;"Wang2005_Dongge_China_d18O.dat";0;9;"Dongge Cv, China";"$\delta^{18}$O";"??";25,28;105,08;"NaN";"??";"Wang2005";"Stalagmite, redfit spectrum weird"
103;103;"vostok_deut.dat";0;12;"Vostok, Antarctica";"$\delta^2$H";"??";-72,47;106,8;11;"nature_399_429.pdf";"Petit1999";"??"
104;104;"Clay_NChina_epsl_197_11.dat";0;10;"N China";"Clay";"??";37,6;109;-1;"epsl_197_11.pdf";"Xiao2002";"??"
105;105;"holo_Dry_SouthChina.dat";0;10;"S China";"Moisture";"??";21,15;110,28;-1;"chinscibul_45_1712.pdf";"Liu2000";"??"
106;106;"Xiangshui_d18O_holocene_14_697.dat";0;6;"Xiangshui Cv, China";"$\delta^{18}$O";"??";26;110,5;-1;"holocene_14_697.pdf";"Zhang2004";"??"
107;107;"SChina_d18O_quatres_55_352.dat";3;12;"S China Sea";"$\delta^{18}$O";"??";5,6;110,66;-1;"science_291_2132.pdf";"Kienast2001";"??"
108;108;"NChina_Lightness_boreas_33_260.dat";5;10;"N China";"GSD";"??";40,3;112,3;-1;"boreas_33_260.pdf";"Jin2004";"??"
109;109;"d18O_GIK17961_SChinaSea.dat";0;12;"S China Sea";"$\delta^{18}$O";"??";8,51;112,33;-1;"margeol_156_245.pdf";"Sarnthein1999";"??"
110;110;"Taiwan_LOI_epsl_146_59.dat";2;12;"Taiwan";"LOI";"??";18,5;115;-1;"epsl_146_59.pdf";"Huang1997";"??"
111;111;"SChinaSea_d18O_qsr_23_2207.dat";0;9;"S China Sea";"SSS";"??";20,12;117,38;-1;"qsr_23_2207.pdf";"Jung2004";"GIK17490"
112;112;"d18O_GIK17940_SChinaSea.dat";0;11;"S China Sea";"$\delta^{18}$O";"??";20,12;117,38;-1;"margeol_156_245.pdf";"Sarnthein1999";"??"
113;113;"Silt_SChinaSea.dat";0;12;"S China Sea";"Silt";"??";20,12;117,38;-1;"margeol_156_245.pdf";"Sarnthein1999";"??"
114;114;"SChina_d18O_15k.dat";0;12;"S China Sea";"$\delta^{18}$O";"??";19,97;117,46;-1;"margeol_156_245.pdf";"Wang1999";"GIK17939???20.11-117.3833"
115;115;"science_304_575_dongge_d18O.dat";0;12;"Dongge Cv, China";"$\delta^{18}$O";"??";32,5;119,17;11;"science_304_575.pdf";"Yuan2004";"??"
116;116;"SuluSea_d18O.dat";4;12;"Sulu Sea";"$\delta^{18}$O";"??";8,47;121,17;-1;"geophysreslet_30_1428.pdf";"Rosenthal2003";"??"
117;117;"d18O_MD81_Stott2004.dat";0;12;"W Pacific";"$\delta^{18}$O (81)";"??";6,3;125,83;-1;"nature_431_56.pdf";"Stott2004";"??"
118;118;"Sun2005_Okinawa_SST.dat";1;12;"E China Sea";"SST";"SST";28,01;127,02;"NaN";"??";"Sun2005";"G. Ruber MgCa thermometry, Age model 2"
119;119;"Fengming2008_etal_qint_OkinawaTrough_EastChinaSea.dat";0;11;"E China Sea";"SST";"SST";29,23;128,14;"NaN";"??";"Fengming2008";"Radiolaria"
120;120;"WPacific_d18O_geophysreslet_30_1428.dat";0;12;"W Pacific";"$\delta^{18}$O";"??";6,3;128,8;-1;"geophysreslet_30_1428.pdf";"Rosenthal2003";"data not identical with source Stott2002"
121;121;"d18O_MD76_Stott2004.dat";0;12;"W Pacific";"$\delta^{18}$O (76)";"??";-5;133,26;-1;"nature_431_56.pdf";"Stott2004";"??"
122;122;"NWPacific_ThaNitz_holocene_14_641.dat";0;7;"NW Pacific";"\%Nitzschia";"??";44,5;145;-1;"holocene_14_641.pdf";"Shimada2004";"??"
123;123;"NWPacific_ozeanica_holocene_14_641.dat";0;7;"NW Pacific";"\%Ozeanica";"??";44,5;145;-1;"holocene_14_641.pdf";"Shimada2004";"??"
124;124;"climdyn_16_79_temp2.dat";0;4;"S Australia";"T";"??";-41,83;145,53;-1;"climdyn_16_79.pdf";"Cook2000";"??"
125;125;"Tasmania_Temp2.dat";0;4;"Tasmania";"T";"??";-43;147;-1;"climdyn_16_79.pdf";"Cook2000";"??"
126;126;"particles_jpaleolimn_27_207.dat";1;12;"SW Australia";"Particles";"??";-36;148;-1;"jpaleolimn_27_207.pdf";"Stanley2002";"??"
127;127;"taylordome_d18O.dat";0;12;"Taylor dome";"$\delta^{18}$O";"??";-77,78;158,72;-1;"?eos_75_225.pdf";"Grootes1994";"??"
128;128;"taylordome_top_deut.dat";0;12;"Taylor dome";"$\delta^2$H";"??";-77,78;158,72;-1;"science_282_92.pdf";"Steig1998";"??"
129;500;"Precip_jpaleolimn_30_261.dat";0;8;"Swiss Alpes";"P";"??";46,67;7,97;-1;"jpaleolimn_30_261";"Wick2003";"duplicate"
130;501;"d18O_pyramid_lake2.dat";0;3;"Pyramid Lk, NV";"$\delta^{18}$O";"??";40;-120;-1;"qsr_21_659.pdf";"Benson2002";"Record too short"
